FileName :   Rasmussen_05262016_run 																	
"Signal(s) Used :  Mg Ka, Si Ka, Ca Ka, Mn Ka, Fe Ka "																	
"Spectromers Conditions :   Sp4 TAP,  Sp1 TAP,  Sp5 PET,  Sp3 LPET,  Sp2 LLIF "																	
"Full Spectromers Conditions :   Sp4 TAP(2d= 25.745,K= 0.00218),  Sp1 TAP(2d= 25.745,K= 0.00218),  Sp5 PET(2d= 8.75,K= 0.000144),  Sp3 LPET(2d= 8.75,K= 0.000144),  Sp2 LLIF(2d= 4.0267,K= 0.000058) "																	
Column Conditions :  Cond 1 : 15keV 20nA  																	
Date :  6-Jun-2016 																	
User Name :  sx-user 																	
Setup Name :  Rasmussen_05262016_Olivine.qtiSet 																	
DataSet Comment :  SH63olv058 																	
Comment :   																	
Analysis Date :  5/28/2016 9:55:14 PM 																	
Project Name :  Default Project 																	
Sample Name :  Default Sample 																	
Analysis Parameters :  	 																
 Sp	Elements	Xtal	Position	Bg+	Bg-	Slope	Bias	Gain	Dtime	Blin	Wind	Mode	 				
 Sp4	Mg Ka		TAP	38492		-1150	1150	   	1283	2538	3	560	 	Inte	 		
 Sp1	Si Ka		TAP	27764		   	750	1.1	1285	2527	3	560	 	Inte	 		
 Sp5	Ca Ka		PET	38394		   	700	1.1	1294	884	3	560	 	Inte	 		
 Sp3	Mn Ka		LPET	24099		-550	550	   	1849	879	3	560	 	Inte	 		
 Sp2	Fe Ka		LLIF	48085		   	950	1.05	1814	365	3	560	 	Inte	 		
"Peak Position :   Sp4 38492 (-1150, 1150),  Sp1 27764 (750, 1.1),  Sp5 38394 (700, 1.1),  Sp3 24099 (-550, 550),  Sp2 48085 (950, 1.05) "																	
Current Sample Position :   X = -5805.133 Y = -31521.87 Z = 285 																	
Standard Name :   																	
" Mg, Ca On Wakefield "																	
 Si On diopside 																	
 Mn On Rhodon 																	
 Fe On fayalite 																	
Standard composition :   																	
" Wakefield = Si : 25.942%, Ti : 0.018%, Al : 0.021%, Fe : 0.086%, Mn : 0.015%, Mg : 11.216%, Ca : 18.582%, Na : 0.022%, O  : 44.427% "																	
" diopside = Si : 25.93%, Mg : 11.23%, Ca : 18.51%, O  : 44.33% "																	
" Rhodon = Si : 21.98%, Fe : 1.8%, Mn : 35.01%, Mg : 2.36%, Ca : 1.06%, O  : 37.73% "																	
" fayalite = Si : 13.66%, Ti : 0.02%, Fe : 52.51%, Mn : 1.66%, H  : 0.01%, O  : 32.14% "																	
Calibration file name (Element intensity cps/nA) :   																	
" Mg, Ca : Wakefield_MgSp4_SiSp1_CaSp5_143.calDat (Mg : 138.6 cps/nA, Ca : 128.3 cps/nA) "																	
 Si : diopside_SiSp1_027.calDat (Si : 551.7 cps/nA) 																	
 Mn : Rhodon_MnSp3_038.calDat (Mn : 781.1 cps/nA) 																	
 Fe : fayalite_FeSp2_020.calDat (Fe : 272.1 cps/nA) 																	
Beam Size :  1 µm 																	
																	
DataSet/Point	MgO	SiO2	CaO	MnO	FeO	Total	X	Y	Z	Beam X	Beam Y	Comment	Distance (µ)	Mean Z	Point#	Date	Fo
322 / 1 . 	49.61381	39.95466	0.07691	0.15356	9.76821	99.56715	6942	32037	167	 	 	SColv16	 	11.67619	342	5/28/2016 3:58	90.04889315
323 / 1 . 	49.17447	40.54403	0.10523	0.13306	9.81171	99.76849	6999	32037	167	 	 	SColv17	 	11.70405	343	5/28/2016 4:00	89.92873336
324 / 1 . 	49.1592	40.793	0.08122	0.13943	9.95745	100.1303	7064	32037	167	 	 	SColv18	 	11.75878	344	5/28/2016 4:02	89.79155861
325 / 1 . 	46.49204	40.65846	0.10247	0.15883	11.42242	98.83422	11513	-255	300	 	 	SC1-2_CTrav	0	11.79634	345	5/28/2016 4:03	87.88128621
325 / 2 . 	46.86364	40.25029	0.0867	0.15717	11.55043	98.90822	11512.4	-305	300	 	 	SC1-2_CTrav	50	11.81611	346	5/28/2016 4:05	87.8473399
325 / 3 . 	46.96804	40.36265	0.08438	0.15231	11.56036	99.12775	11511.8	-355	300	 	 	SC1-2_CTrav	100.01	11.83989	347	5/28/2016 4:06	87.86191467
325 / 4 . 	47.08746	40.12506	0.12343	0.16159	11.60532	99.10285	11511.1	-405	301	 	 	SC1-2_CTrav	150.02	11.84498	348	5/28/2016 4:07	87.84759256
325 / 5 . 	46.53077	40.37027	0.12874	0.18022	11.55647	98.76646	11510.5	-455	301	 	 	SC1-2_CTrav	200.02	11.80759	349	5/28/2016 4:08	87.76542175
325 / 6 . 	46.84933	40.1763	0.07174	0.15059	11.66181	98.90977	11509.9	-505	302	 	 	SC1-2_CTrav	250.03	11.82725	350	5/28/2016 4:10	87.74122999
325 / 7 . 	46.67142	39.96053	0.11701	0.14814	11.65594	98.55305	11509.3	-555	302	 	 	SC1-2_CTrav	300.03	11.79111	351	5/28/2016 4:11	87.70567758
325 / 8 . 	46.69032	39.83971	0.12057	0.1515	11.68024	98.48232	11508.6	-605	303	 	 	SC1-2_CTrav	350.04	11.78666	352	5/28/2016 4:12	87.6875755
325 / 9 . 	46.89648	39.5213	0.08199	0.16413	11.76843	98.43232	11508	-655	303	 	 	SC1-2_CTrav	400.04	11.7894	353	5/28/2016 4:13	87.65389158
325 / 10 . 	47.18665	39.47778	0.06869	0.1706	11.7389	98.64262	11507.4	-705	304	 	 	SC1-2_CTrav	450.05	11.80758	354	5/28/2016 4:15	87.74752724
325 / 11 . 	46.83321	39.42881	0.08463	0.16579	11.94118	98.45363	11506.8	-755	304	 	 	SC1-2_CTrav	500.05	11.8116	355	5/28/2016 4:16	87.48054557
325 / 12 . 	46.70929	39.27165	0.05626	0.15879	11.77697	97.97295	11506.2	-805	305	 	 	SC1-2_CTrav	550.07	11.73942	356	5/28/2016 4:17	87.60266785
325 / 13 . 	46.83708	38.97893	0.08139	0.16263	11.62433	97.68435	11505.5	-855	305	 	 	SC1-2_CTrav	600.07	11.69251	357	5/28/2016 4:19	87.77300615
325 / 14 . 	46.46774	38.88537	0.06356	0.1627	11.8638	97.44317	11504.9	-905	306	 	 	SC1-2_CTrav	650.08	11.69366	358	5/28/2016 4:20	87.46593832
325 / 15 . 	46.7615	38.75962	0.08035	0.1609	11.78358	97.54594	11504.3	-955	306	 	 	SC1-2_CTrav	700.08	11.69542	359	5/28/2016 4:21	87.60870532
325 / 16 . 	46.7032	38.58329	0.09641	0.15585	11.71656	97.25531	11503.7	-1005	307	 	 	SC1-2_CTrav	750.09	11.65716	360	5/28/2016 4:22	87.65700104
325 / 17 . 	46.41719	38.65427	0.11705	0.16179	11.71213	97.06242	11503	-1055	307	 	 	SC1-2_CTrav	800.09	11.63875	361	5/28/2016 4:24	87.59449486
325 / 18 . 	46.43246	38.69352	0.0786	0.15964	11.86147	97.2257	11502.4	-1105	308	 	 	SC1-2_CTrav	850.1	11.6706	362	5/28/2016 4:25	87.45976363
325 / 19 . 	46.41837	38.50996	0.07046	0.14956	11.75349	96.90186	11501.8	-1155	308	 	 	SC1-2_CTrav	900.11	11.62207	363	5/28/2016 4:26	87.55641474
325 / 20 . 	46.32211	38.32975	0.10948	0.1666	11.85079	96.77873	11501.2	-1205	308	 	 	SC1-2_CTrav	950.11	11.62405	364	5/28/2016 4:27	87.44353787
325 / 21 . 	46.4333	38.31696	0.05885	0.15255	11.98618	96.94784	11500.6	-1255	309	 	 	SC1-2_CTrav	1000.12	11.65265	365	5/28/2016 4:29	87.34480283
325 / 22 . 	46.35887	37.9519	0.07308	0.13549	11.84159	96.36095	11499.9	-1305	309	 	 	SC1-2_CTrav	1050.12	11.57241	366	5/28/2016 4:30	87.46076473
325 / 23 . 	46.35106	38.0549	0.04931	0.141	11.75822	96.3545	11499.3	-1355	310	 	 	SC1-2_CTrav	1100.13	11.56161	367	5/28/2016 4:31	87.53620675
325 / 24 . 	46.64449	37.85379	0.08324	0.16079	11.86193	96.60425	11498.7	-1405	310	 	 	SC1-2_CTrav	1150.13	11.60306	368	5/28/2016 4:32	87.50922344
325 / 25 . 	46.37891	38.09527	0.08123	0.15823	11.77574	96.48937	11498.1	-1455	311	 	 	SC1-2_CTrav	1200.14	11.58167	369	5/28/2016 4:34	87.52651248
325 / 26 . 	46.42471	37.92727	0.03832	0.14081	11.83717	96.36828	11497.4	-1505	311	 	 	SC1-2_CTrav	1250.15	11.57099	370	5/28/2016 4:35	87.48041024
325 / 27 . 	47.25935	36.28392	0.13501	0.14561	11.3863	95.2102	11496.8	-1555	312	 	 	SC1-2_CTrav	1300.16	11.39823	371	5/28/2016 4:36	88.08781771
325 / 28 . 	48.63818	35.12302	0.24782	0.1359	11.82949	95.97442	11496.2	-1605	312	 	 	SC1-2_CTrav	1350.16	11.53048	372	5/28/2016 4:38	87.98854925
