sample name,peak location (cm^-1),temperature (Celsius),hours dehydrated,traverse direction,raypath direction,position (microns),area (cm^-2) or height (/cm),area/initial or height/initial,FTIR spectrum filename,
SC1-2,total H,800.0,7.0,a,b,-200.0,19.109,0.748,SC1-2-800C-7hr-a09.csv,
SC1-2,total H,800.0,7.0,a,b,0.0,20.481,0.785,SC1-2-800C-7hr-a11.csv,
SC1-2,total H,800.0,7.0,a,b,200.0,21.064,0.791,SC1-2-800C-7hr-a13.csv,
SC1-2,total H,800.0,7.0,a,b,400.0,21.046,0.774,SC1-2-800C-7hr-a15.csv,
SC1-2,total H,800.0,7.0,a,b,600.0,19.987,0.721,SC1-2-800C-7hr-a17.csv,
SC1-2,total H,800.0,7.0,a,b,800.0,18.211,0.644,SC1-2-800C-7hr-a19.csv,
SC1-2,total H,800.0,7.0,a,b,1000.0,16.907,0.587,SC1-2-800C-7hr-a21.csv,
SC1-2,total H,800.0,7.0,b,c,-889.3,23.903,0.979,SC1-2-800C-7hr-b01.csv,
SC1-2,total H,800.0,7.0,b,c,-689.3,21.813,0.887,SC1-2-800C-7hr-b03.csv,
SC1-2,total H,800.0,7.0,b,c,-489.3,22.067,0.891,SC1-2-800C-7hr-b05.csv,
SC1-2,total H,800.0,7.0,b,c,-289.3,20.542,0.823,SC1-2-800C-7hr-b07.csv,
SC1-2,total H,800.0,7.0,b,c,-89.3,19.950,0.793,SC1-2-800C-7hr-b09.csv,
SC1-2,total H,800.0,7.0,b,c,110.7,19.261,0.760,SC1-2-800C-7hr-b11.csv,
SC1-2,total H,800.0,7.0,b,c,310.7,17.692,0.693,SC1-2-800C-7hr-b13.csv,
SC1-2,total H,800.0,7.0,b,c,510.7,16.804,0.654,SC1-2-800C-7hr-b15.csv,
SC1-2,total H,800.0,7.0,b,c,810.7,15.517,0.597,SC1-2-800C-7hr-b18.csv,
SC1-2,total H,800.0,7.0,c,b,-1355.7,16.733,0.743,SC1-2-800C-7hr-c00-copper.csv,
SC1-2,total H,800.0,7.0,c,b,-1205.7,18.665,0.819,SC1-2-800C-7hr-c02-copper.csv,
SC1-2,total H,800.0,7.0,c,b,-1005.7,20.241,0.876,SC1-2-800C-7hr-c04-copper.csv,
SC1-2,total H,800.0,7.0,c,b,-805.7,22.092,0.942,SC1-2-800C-7hr-c06-copper.csv,
SC1-2,total H,800.0,7.0,c,b,-605.7,21.621,0.909,SC1-2-800C-7hr-c08-copper.csv,
SC1-2,total H,800.0,7.0,c,b,-405.7,22.238,0.922,SC1-2-800C-7hr-c10.csv,
SC1-2,total H,800.0,7.0,c,b,-205.7,22.760,0.931,SC1-2-800C-7hr-c12.csv,
SC1-2,total H,800.0,7.0,c,b,194.3,23.182,0.923,SC1-2-800C-7hr-c16.csv,
SC1-2,total H,800.0,7.0,c,b,394.3,22.525,0.885,SC1-2-800C-7hr-c18.csv,
SC1-2,total H,800.0,7.0,c,b,594.3,22.238,0.862,SC1-2-800C-7hr-c20.csv,
SC1-2,total H,800.0,7.0,c,b,794.3,22.381,0.857,SC1-2-800C-7hr-c22.csv,
SC1-2,total H,800.0,7.0,c,b,994.3,22.921,0.866,SC1-2-800C-7hr-c24.csv,
SC1-2,total H,800.0,7.0,c,b,1144.3,21.375,0.800,SC1-2-800C-7hr-c2526.csv,
SC1-2,total H,800.0,7.0,c,b,1355.3,22.756,0.841,SC1-2-800C-7hr-c27.csv,
SC1-2,total H,800.0,13.0,a,b,-1000.0,12.762,0.546,SC1-2-800C-13hr-a01.csv,
SC1-2,total H,800.0,13.0,a,b,-800.0,9.065,0.379,SC1-2-800C-13hr-a03.csv,
SC1-2,total H,800.0,13.0,a,b,-600.0,10.721,0.438,SC1-2-800C-13hr-a05.csv,
SC1-2,total H,800.0,13.0,a,b,-400.0,11.721,0.469,SC1-2-800C-13hr-a07.csv,
SC1-2,total H,800.0,13.0,a,b,-200.0,12.723,0.498,SC1-2-800C-13hr-a09.csv,
SC1-2,total H,800.0,13.0,a,b,0.0,14.037,0.538,SC1-2-800C-13hr-a11.csv,
SC1-2,total H,800.0,13.0,a,b,200.0,14.371,0.540,SC1-2-800C-13hr-a13.csv,
SC1-2,total H,800.0,13.0,a,b,400.0,14.308,0.526,SC1-2-800C-13hr-a15.csv,
SC1-2,total H,800.0,13.0,a,b,600.0,13.828,0.499,SC1-2-800C-13hr-a17.csv,
SC1-2,total H,800.0,13.0,a,b,800.0,13.979,0.495,SC1-2-800C-13hr-a19.csv,
SC1-2,total H,800.0,13.0,a,b,1000.0,11.950,0.415,SC1-2-800C-13hr-a21.csv,
SC1-2,total H,800.0,13.0,b,c,-889.3,16.666,0.683,SC1-2-800C-13hr-b01.csv,
SC1-2,total H,800.0,13.0,b,c,-689.3,15.645,0.636,SC1-2-800C-13hr-b03.csv,
SC1-2,total H,800.0,13.0,b,c,-489.3,15.847,0.640,SC1-2-800C-13hr-b05.csv,
SC1-2,total H,800.0,13.0,b,c,-289.3,15.144,0.607,SC1-2-800C-13hr-b07.csv,
