baseline wavenumber (cm-1),baseline absorbance (cm-1),baseline-subtracted absorbance (cm-1)
3399.943,0.190706430568,4.4408920985e-16
3401.871,0.189796975167,0.00760843023853
3403.8,0.188887048056,0.0032760460726
3405.728,0.187977592654,0.000206004736107
3407.657,0.187067665544,0.00345330370158
3409.585,0.186158210142,0.0182770181899
3411.514,0.185248283031,0.0198784644061
3413.442,0.184338827629,0.00871615839109
3415.371,0.183428900519,0.00379104356346
3417.299,0.182519445117,0.0110201634572
3419.228,0.181609518006,-0.00565891222788
3421.156,0.180700062604,-0.0099246665187
3423.085,0.179790135494,0.0111129399957
3425.013,0.178880680092,0.0285871670655
3426.942,0.177970752981,0.0228475135613
3428.87,0.177061297579,0.01626955051
3430.799,0.176151370469,0.0158206705379
3432.727,0.175241915067,0.00820542882864
3434.656,0.174331987956,0.00965962434583
3436.584,0.173422532554,0.0115709436804
3438.513,0.172512605444,0.00843520443521
3440.441,0.171603150042,0.00788706431027
3442.37,0.170693222931,0.0101511386718
3444.298,0.16978376753,0.014013995751
3446.227,0.168873840419,0.00844861997276
3448.155,0.167964385017,0.00444568022061
3450.084,0.167054457906,0.00453361292327
3452.012,0.166145002505,0.0126788558365
3453.941,0.165235075394,0.0156707959949
3455.869,0.164325619992,0.019682767706
3457.798,0.163415692881,0.0266327693741
3459.726,0.16250623748,0.029115384142
3461.655,0.161596310369,0.034793251607
3463.583,0.160686854967,0.0488667331037
3465.512,0.159776927856,0.0620925968409
3467.44,0.158867472455,0.0706124902667
3469.369,0.157957545344,0.0695559681698
3471.297,0.157048089942,0.0729985083803
3473.226,0.156138162831,0.0926866274763
3475.154,0.15522870743,0.106839326121
3477.083,0.154318780319,0.1190279112
3479.011,0.153409324917,0.123292445819
3480.94,0.152499397806,0.109736389705
3482.868,0.151589942405,0.127394214166
3484.797,0.150680015294,0.153525017325
3486.725,0.149770559892,0.163954510005
3488.654,0.148860632781,0.153381678495
3490.582,0.14795117738,0.154218440514
3492.511,0.147041250269,0.161584099219
3494.439,0.146131794867,0.161758233092
3496.368,0.145221867756,0.159600126652
3498.296,0.144312412355,0.164473235362
3500.225,0.143402485244,0.167549052501
3502.153,0.142493029842,0.171818246952
3504.082,0.141583102731,0.182210932683
3506.01,0.14067364733,0.195201469166
3507.939,0.139763720219,0.212320156762
3509.867,0.138854264817,0.232755241241
3511.796,0.137944337706,0.257142335173
3513.724,0.137034882305,0.287481427108
3515.653,0.136124955194,0.314727794107
3517.581,0.135215499792,0.334451788185
3519.51,0.134305572681,0.356873364877
3521.438,0.13339611728,0.373162130623
3523.367,0.132486190169,0.373338600139
3525.295,0.131576734767,0.375087757311
3527.224,0.130666807656,0.368862549287
3529.152,0.129757352255,0.358439292666
3531.081,0.128847425144,0.356096656869
3533.009,0.127937969742,0.348949262317
3534.938,0.127028042631,0.320955181972
3536.866,0.12611858723,0.318427545109
3538.795,0.125208660119,0.349769904653
3540.723,0.124299204717,0.382330804602
3542.652,0.123389277607,0.400675028078
3544.58,0.122479822205,0.404261091122
3546.509,0.121569895094,0.390836442278
3548.437,0.120660439692,0.378003120419
3550.366,0.119750512582,0.365098508854
3552.294,0.11884105718,0.355947386436
3554.223,0.117931130069,0.38131584104
3556.151,0.117021674667,0.414510478175
3558.08,0.116111747557,0.452442772481
3560.008,0.115202292155,0.494165834592
3561.937,0.114292365044,0.503334848376
3563.865,0.113382909642,0.488645981317
3565.794,0.112472982532,0.47929309389
3567.722,0.11156352713,0.503405717977
3569.651,0.110653600019,0.559549568667
3571.579,0.109744144617,0.603005156408
3573.508,0.108834217507,0.592654132913
3575.436,0.107924762105,0.516548676851
