baseline wavenumber (cm-1),baseline absorbance (cm-1),baseline-subtracted absorbance (cm-1)
3399.943,0.158754675023,1.11022302463e-16
3401.871,0.158071612009,0.00208860228415
3403.8,0.157388194709,-0.000735005585405
3405.728,0.156705131695,-0.00168339915691
3407.657,0.156021714395,0.00281736374074
3409.585,0.155338651381,0.00136255148937
3411.514,0.154655234082,-0.00325424348218
3413.442,0.153972171068,-0.0012930039798
3415.371,0.153288753768,-0.00181599525176
3417.299,0.152605690754,-0.00176216502866
3419.228,0.151922273454,1.44494812444e-05
3421.156,0.15123921044,0.00348786931316
3423.085,0.15055579314,0.00212438476312
3425.013,0.149872730126,-0.00013857466303
3426.942,0.149189312827,-0.00390729523854
3428.87,0.148506249813,-0.00555113003111
3430.799,0.147822832513,-0.00101145072792
3432.727,0.147139769499,0.00115346814372
3434.656,0.146456352199,-0.00166407483147
3436.584,0.145773289185,0.000831380783323
3438.513,0.145089871886,0.00275153112664
3440.441,0.144406808872,-0.00140215911928
3442.37,0.143723391572,-0.00183619860715
3444.298,0.143040328558,0.00102719393274
3446.227,0.142356911258,0.00537785069474
3448.155,0.141673848244,0.00778334370971
3450.084,0.140990430944,0.00683328279255
3452.012,0.14030736793,0.00933783574889
3453.941,0.139623950631,0.00860408939758
3455.869,0.138940887617,0.0105491558483
3457.798,0.138257470317,0.0138066154002
3459.726,0.137574407303,0.014493721677
3461.655,0.136890990003,0.014540325068
3463.583,0.136207926989,0.0197184856256
3465.512,0.13552450969,0.0227070681938
3467.44,0.134841446676,0.026499400388
3469.369,0.134158029376,0.0295319534403
3471.297,0.133474966362,0.032898226805
3473.226,0.132791549062,0.0370290311461
3475.154,0.132108486048,0.0400794245957
3477.083,0.131425068748,0.04418344232
3479.011,0.130742005734,0.04963553394
3480.94,0.130058588435,0.0536071348039
3482.868,0.129375525421,0.0544842744377
3484.797,0.128692108121,0.0553708656989
3486.725,0.128009045107,0.0565178931321
3488.654,0.127325627807,0.0540228003743
3490.582,0.126642564793,0.0516981811887
3492.511,0.125959147494,0.0535041093547
3494.439,0.12527608448,0.054766369781
3496.368,0.12459266718,0.051851283088
3498.296,0.123909604166,0.0481403301311
3500.225,0.123226186866,0.0483329963948
3502.153,0.122543123852,0.051704829246
3504.082,0.121859706552,0.0521997294124
3506.01,0.121176643538,0.0569745744945
3507.939,0.120493226239,0.0691974641484
3509.867,0.119810163225,0.0830216370381
3511.796,0.119126745925,0.0900716772025
3513.724,0.118443682911,0.0959291059296
3515.653,0.117760265611,0.10639469244
3517.581,0.117077202597,0.12094766347
3519.51,0.116393785298,0.134995580921
3521.438,0.115710722284,0.150476986197
3523.367,0.115027304984,0.161604151602
3525.295,0.11434424197,0.164971435782
3527.224,0.11366082467,0.16598185197
3529.152,0.112977761656,0.156046801166
3531.081,0.112294344356,0.140415147203
3533.009,0.111611281342,0.12654246373
3534.938,0.110927864043,0.118305937635
3536.866,0.110244801029,0.114777942325
3538.795,0.109561383729,0.110445691981
3540.723,0.108878320715,0.107479204808
3542.652,0.108194903415,0.102784071618
3544.58,0.107511840401,0.0984969536955
3546.509,0.106828423102,0.0948727797692
3548.437,0.106145360088,0.084310012398
3550.366,0.105461942788,0.0768942686748
3552.294,0.104778879774,0.0784122654804
3554.223,0.104095462474,0.089509106413
3556.151,0.10341239946,0.109485609233
3558.08,0.10272898216,0.135003252753
3560.008,0.102045919146,0.170177875456
3561.937,0.101362501847,0.203423205219
3563.865,0.100679438833,0.223251118127
3565.794,0.099996021533,0.240838406851
3567.722,0.099312958519,0.271064075748
3569.651,0.0986295412193,0.316672591602
3571.579,0.0979464782053,0.356042857689
3573.508,0.0972630609055,0.352671690939
3575.436,0.0965799978916,0.293918334262
3577.365,0.0958965805918,0.215651989104
3579.293,0.0952135175779,0.152188686
3581.222,0.0945301002781,0.100358709992
3583.15,0.0938470372641,0.0668797392445
3585.079,0.0931636199644,0.0552706264725
3587.007,0.0924805569504,0.0526528707257
3588.936,0.0917971396507,0.0484631453994
3590.864,0.0911140766367,0.0520750469861
3592.793,0.090430659337,0.0640396732214
3594.721,0.089747596323,0.0802766632545
3596.65,0.0890641790232,0.0952307770063
3598.578,0.0883811160093,0.0966638652906
3600.507,0.0876976987095,0.077553488999
3602.435,0.0870146356956,0.0463195399842
3604.364,0.0863312183958,0.0249808204195
3606.292,0.0856481553818,0.0228588697875
3608.221,0.0849647380821,0.0250317240629
3610.149,0.0842816750681,0.0122825622714
3612.078,0.0835982577684,0.00393130859167
3614.006,0.0829151947544,0.00201202651314
3615.935,0.0822317774547,-0.00127301873638
3617.863,0.0815487144407,0.00159290084283
3619.792,0.0808652971409,0.00390676391232
3621.72,0.080182234127,0.000440428361642
3623.649,0.0794988168272,0.00220996716145
3625.577,0.0788157538133,0.00376182629388
3627.506,0.0781323365135,0.00120001969795
3629.434,0.0774492734996,-0.000567134613474
3631.363,0.0767658561998,0.00192968610284
3633.291,0.0760827931858,0.00187788608233
