baseline wavenumber (cm-1),baseline absorbance (cm-1),baseline-subtracted absorbance (cm-1)
3149.238,0.4752229865512483,-0.001099474416450974
3151.167,0.47264777303951533,-0.003335669159471699
3153.095,0.47008435423109063,-0.004703306155653841
3155.0229999999997,0.4675313924148661,0.0008485735767869151
3156.952,0.4649875715775593,0.00637508107354634
3158.881,0.46245421858276714,0.012901323232042294
3160.809,0.45993263859065436,0.0157166116798666
3162.738,0.45742021585433434,0.011343116963721034
3164.6659999999997,0.45491955527037575,0.007173503935066439
3166.594,0.4524293516786173,0.007976429740458979
3168.5229999999997,0.44994832161671994,0.008471836058346671
3170.452,0.44747775939734424,0.01122296714462534
3172.38,0.445018937629694,0.011809783965607057
3174.309,0.4425693056687834,0.010929689539131537
3176.237,0.4401314033092909,0.01193537671853484
3178.1659999999997,0.437702701606856,0.013600436436119079
3180.094,0.43528571865551413,0.014687229249880751
3182.022,0.43287919269637953,0.013224532763506325
3183.9509999999996,0.43048188366836726,0.00828067623269968
3185.88,0.42809504248286956,0.008888262510174716
3187.808,0.42571989834783963,0.016060902394161136
3189.737,0.4233539874208141,0.022956879792047857
3191.665,0.4209997626939419,0.024578379213618273
3193.594,0.418654782025385,0.025787171908763007
3195.522,0.41632147670666697,0.023363946078926112
3197.45,0.41399862838015267,0.02057162977412208
3199.3790000000004,0.4116850403860184,0.024996054064438056
3201.308,0.4093819202344058,0.028556710156690368
3203.236,0.4070904537319997,0.03014714095033222
3205.165,0.4048082638388557,0.03209929528929445
3207.093,0.4025377167446038,0.026718737112252366
3209.0209999999997,0.40027762664255206,0.02459329622033346
3210.95,0.3980268294238307,0.020658438778364818
3212.8779999999997,0.3957876587299367,0.017869011543676372
3214.8070000000002,0.3935577917696875,0.02207909182901524
3216.736,0.39133839265195647,0.027339146380351842
3218.664,0.38913060378216713,0.026552654835858114
3220.593,0.38693213492290823,0.023037721314532522
3222.5209999999997,0.38474526546127663,0.026069389044829805
3224.449,0.3825688529918452,0.029072822692186584
3226.3779999999997,0.3804017768070125,0.027720807827398275
3228.3059999999996,0.3782462837457352,0.022961012590638763
3230.235,0.3761001378193676,0.023384326549159784
3232.164,0.37396445973551806,0.025805211001844963
3234.092,0.37184034849835257,0.021432182031869473
3236.0209999999997,0.3697256006729752,0.02209384591846142
3237.949,0.3676224088439639,0.024980002657041478
3239.877,0.36552967400715275,0.02460249479791843
3241.8059999999996,0.36344631885619805,0.023621234088616383
3243.7340000000004,0.36137450342754107,0.023962488379539515
3245.663,0.35931207853505853,0.024938964902876393
3247.592,0.35726012148509056,0.02652253425768336
3249.52,0.3552196878805489,0.02905145139909271
3251.448,0.35318971126820387,0.027835176658833394
3253.377,0.35116914689265855,0.02352245922884455
3255.305,0.34916008968847123,0.024062974154472894
3257.2340000000004,0.3471604555713981,0.026350906308336253
3259.1620000000003,0.34517231777536495,0.02832126701362947
3261.091,0.34319361391676395,0.02890176403964384
3263.02,0.3412253779006811,0.02612583557899173
3264.948,0.3392686219287526,0.02778733726123095
3266.8759999999997,0.3373223229490314,0.03212272265307181
3268.805,0.33538547960736764,0.03235992153655021
3270.7329999999997,0.3334601000358006,0.03078476006622477
3272.6620000000003,0.33154418695261256,0.028453494296421855
3274.591,0.3296387417119391,0.02820713864051161
3276.5190000000002,0.3277447439644767,0.028202079346699716
3278.448,0.32586022898227895,0.03301672263311772
3280.3759999999997,0.3239871506429708,0.03662886419703559
3282.304,0.3221245292958699,0.03680034317282743
3284.2329999999997,0.3202714069880912,0.03654803960334574
3286.1609999999996,0.3184297050491445,0.037810826717744384
3288.09,0.3165975129998344,0.041175713155676696
3290.0190000000002,0.314775788793046,0.04713949950499119
3291.947,0.31296546867820396,0.044540328199212276
3293.875,0.3111656055555656,0.044156700828729356
3295.804,0.3093752740232034,0.04551497176439945
3297.732,0.30759633030871925,0.04779476568757124
3299.6609999999996,0.30582692903482567,0.05254376195296251
3301.5890000000004,0.3040689047284957,0.0524630167431388
3303.518,0.3023204337130707,0.04919216483384625
3305.447,0.3005824305401674,0.04885797756000354
3307.375,0.29885578805794566,0.0463907724614554
3309.303,0.29713960256793115,0.04900122290741349
3311.232,0.2954329920694434,0.05549064373207191
3313.16,0.2937377259875831,0.06004106517024699
3315.0890000000004,0.2920520457475675,0.05989956964893928
3317.0170000000003,0.2903776990738649,0.06197196857183096
3318.946,0.2887129490923215,0.06230962008374963
3320.875,0.2870586669532962,0.05964175042187847
3322.803,0.28541570210369827,0.058647522505979044
3324.7309999999998,0.2837831942463005,0.06174702680795896
3326.66,0.28216030478169785,0.06411114366473925
3328.5879999999997,0.2805487163324578,0.07120889689988141
3330.5170000000003,0.2789467571263273,0.07522158419381553
3332.445,0.2773560880852415,0.07505309416858452
3334.3740000000003,0.2757750591375796,0.07188454822059098
3336.302,0.27420530950464794,0.0708078300841608
3338.2309999999998,0.2726452108154618,0.07765004347422755
3340.159,0.2710963805906843,0.07820412953452838
3342.0879999999997,0.26955721215996675,0.07244309700682905
3344.0159999999996,0.268029301343347,0.07837972632708112
3345.945,0.2665110631710981,0.08307697207391707
3347.873,0.2650040717626325,0.08280780024231493
3349.802,0.2635067638488522,0.08468770206550946
3351.73,0.2620206918485444,0.08928167327744152
3353.659,0.2605443141932362,0.08623339488080983
3355.587,0.2590791616010826,0.08801312468737121
3357.5159999999996,0.25762371420424657,0.08863150298542743
3359.4440000000004,0.25617948102024357,0.08921393372701303
3361.373,0.2547449638818797,0.09080999051601824
3363.302,0.25332091458603045,0.09282300255726916
3365.23,0.25190806322613923,0.08794121796106147
