3.482800e+003, 0.05,30.29, 1.49
3525, 0.15,27.45, 4.51
3542, 0.04, 6.23, 0.24
3566, 0.15,28.99, 4.56
3572, 0.21,11.98, 2.74
3600, 0.07,11.99, 0.95
