baseline wavenumber (cm-1),baseline absorbance (cm-1),baseline-subtracted absorbance (cm-1)
3399.943,0.296440913327,3.33066907388e-16
3401.871,0.294878744673,0.000201963621333
3403.8,0.293315765766,0.000596163404785
3405.728,0.291753597112,0.0043526470634
3407.657,0.290190618204,0.00161804908357
3409.585,0.28862844955,-0.00649275523545
3411.514,0.287065470643,0.000913746505127
3413.442,0.285503301989,0.00641216865395
3415.371,0.283940323082,0.00450208139174
3417.299,0.282378154428,0.0036649024222
3419.228,0.28081517552,0.00363095681889
3421.156,0.279253006866,0.00710496144674
3423.085,0.277690027959,0.0144290773532
3425.013,0.276127859305,0.0167429701451
3426.942,0.274564880398,0.0273854457906
3428.87,0.273002711744,0.0388903917046
3430.799,0.271439732836,0.0355995961479
3432.727,0.269877564182,0.0348640015213
3434.656,0.268314585275,0.0439552190121
3436.584,0.266752416621,0.0309982823539
3438.513,0.265189437714,0.0257021745884
3440.441,0.26362726906,0.0319536256282
3442.37,0.262064290152,0.0420095215906
3444.298,0.260502121498,0.0431763500768
3446.227,0.258939142591,0.0441195712954
3448.155,0.257376973937,0.0467167818879
3450.084,0.25581399503,0.0570775240758
3452.012,0.254251826376,0.0625639238574
3453.941,0.252688847468,0.0624129232681
3455.869,0.251126678814,0.0625340853983
3457.798,0.249563699907,0.0686130941286
3459.726,0.248001531253,0.0697159897164
3461.655,0.246438552345,0.0752976079528
3463.583,0.244876383691,0.0850822369982
3465.512,0.243313404784,0.0968500621311
3467.44,0.24175123613,0.106205054643
3469.369,0.240188257223,0.114167008388
3471.297,0.238626088569,0.117918459427
3473.226,0.237063109661,0.122435771979
3475.154,0.235500941007,0.132017045945
3477.083,0.2339379621,0.143252718235
3479.011,0.232375793446,0.15124154113
3480.94,0.230812814539,0.155672739981
3482.868,0.229250645885,0.157495300061
3484.797,0.227687666977,0.166231251942
3486.725,0.226125498323,0.164551295712
3488.654,0.224562519416,0.164550528114
3490.582,0.223000350762,0.165703563497
3492.511,0.221437371855,0.166135414725
3494.439,0.219875203201,0.169555458496
3496.368,0.218312224293,0.172455436471
3498.296,0.216750055639,0.178410988163
3500.225,0.215187076732,0.185038552345
3502.153,0.213624908078,0.18629932305
3504.082,0.212061929171,0.193813560112
3506.01,0.210499760517,0.205897816371
3507.939,0.208936781609,0.221204131718
3509.867,0.207374612955,0.239434520316
3511.796,0.205811634048,0.251056119913
3513.724,0.204249465394,0.253429099378
3515.653,0.202686486486,0.276868965517
3517.581,0.201124317833,0.301616036315
3519.51,0.199561338925,0.324127011494
3521.438,0.197999170271,0.341168490493
3523.367,0.196436191364,0.357245355701
3525.295,0.19487402271,0.359001559769
3527.224,0.193311043802,0.355445153774
3529.152,0.191748875148,0.344954200341
3531.081,0.190185896241,0.325026964896
3533.009,0.188623727587,0.308022777539
3534.938,0.18706074868,0.298802718235
3536.866,0.185498580026,0.289904681857
3538.795,0.183935601118,0.298618546132
3540.723,0.182373432464,0.316158068002
3542.652,0.180810453557,0.320628968624
3544.58,0.179248284903,0.310468397296
3546.509,0.177685305996,0.303966418142
3548.437,0.176123137342,0.293953004317
3550.366,0.174560158434,0.286576840634
3552.294,0.17299798978,0.278825682167
3554.223,0.171435010873,0.286080086984
3556.151,0.169872842219,0.310683168965
3558.08,0.168309863312,0.353829372476
3560.008,0.166747694658,0.398998996861
3561.937,0.16518471575,0.428195619758
3563.865,0.163622547096,0.432738403509
3565.794,0.162059568189,0.432160003107
3567.722,0.160497399535,0.442766440167
3569.651,0.158934420628,0.487194190742
3571.579,0.157372251974,0.526863535538
3573.508,0.155809273066,0.522602003728
3575.436,0.154247104412,0.449469577787
3577.365,0.152684125505,0.350944392669
3579.293,0.151121956851,0.253305349766
3581.222,0.149558977943,0.180453044424
3583.15,0.14799680929,0.128557617551
3585.079,0.146433830382,0.0950227399814
3587.007,0.144871661728,0.0679850950286
3588.936,0.143308682821,0.0508978409444
3590.864,0.141746514167,0.0404078194772
3592.793,0.140183535259,0.0404275551413
3594.721,0.138621366605,0.0456172168056
3596.65,0.137058387698,0.0419625815471
3598.578,0.135496219044,0.0396765675356
3600.507,0.133933240137,0.0358020813917
3602.435,0.132371071483,0.0226048837829
3604.364,0.130808092575,0.0222386921404
3606.292,0.129245923921,0.0232885588372
3608.221,0.127682945014,0.014260111836
3610.149,0.12612077636,0.000804945913971
3612.078,0.124557797453,-0.0106090556073
3614.006,0.122995628799,-0.0217078375592
3615.935,0.121432649891,-0.0156388008698
3617.863,0.119870481237,-0.0199334821693
3619.792,0.11830750233,-0.0241902609506
3621.72,0.116745333676,-0.0170312609826
3623.649,0.115182354769,-0.00869624106865
3625.577,0.113620186115,-0.0100010808024
3627.506,0.112057207207,-0.0125313917366
3629.434,0.110495038553,-0.0177193628776
3631.363,0.108932059646,-0.00460326188257
3633.291,0.107369890992,-0.00489775678873
3635.22,0.105806912084,-0.00804502951227
3637.148,0.104244743431,-0.0194404563849
3639.077,0.102681764523,-0.0246463497981
3641.005,0.101119595869,-0.0234616275561
3642.934,0.0995566169618,-0.0245957595527
3644.862,0.0979944483078,-0.0245536281774
3646.791,0.0964314694004,-0.0232338925132
3648.719,0.0948693007465,-0.0308059270279
3650.648,0.0933063218391,-0.0310481671326
3652.576,0.0917441531851,-0.0296714598021
3654.505,0.0901811742777,-0.0253219012116
3656.433,0.0886190056238,-0.0229032553908
3658.362,0.0870560267164,-0.00857326809568
3660.29,0.0854938580624,-0.00926459431591
3662.219,0.083930879155,-0.0155972351662
3664.147,0.0823687105011,-0.0172652622252
3666.076,0.0808057315937,-0.0241216682199
3668.004,0.0792435629397,-0.0298717083265
3669.933,0.0776805840323,-0.0227821683753
3671.861,0.0761184153784,-0.0179077909608
3673.79,0.074555436471,-0.0142460236098
3675.718,0.072993267817,0.000847365920184
3677.647,0.0714302889096,0.00570857409133
3679.575,0.0698681202556,-0.0066929105632
3681.504,0.0683051413482,-0.0124169773221
3683.432,0.0667429726943,-0.00966841537836
3685.361,0.0651799937869,-0.00745958372165
3687.289,0.0636178251329,-0.0147594840332
3689.218,0.0620548462255,-0.0108861602982
3691.146,0.0604926775716,-0.00569771019041
3693.075,0.0589296986642,-0.000526157191674
3695.003,0.0573675300102,0.00315623513423
3696.932,0.0558045511028,0.00608361292327
3698.86,0.0542423824489,0.00764578157722
