name,IGSN,microns,traverse,Fo,Li,MgO,Al,SiO2,P,CaO,Sc,Ti,V,Cr,MnO,FeO,Co,Ni,Cu,Zn
SC1-7,IEFERJAI9,1123,a-axis,88.0,,46.958,,40.792,53.529,,3.733,36.761,2.929,114.030,0.164,11.396,150.692,2605.007,,79.674
SC1-7,IEFERJAI9,1106,a-axis,88.4,,47.290,,40.792,53.515,,3.665,35.637,2.903,108.729,0.159,11.084,146.397,2552.398,,80.107
SC1-7,IEFERJAI9,1088,a-axis,88.2,,47.155,,40.792,60.062,,3.689,37.434,2.835,111.475,0.164,11.267,150.331,2626.830,,83.045
SC1-7,IEFERJAI9,1071,a-axis,88.1,,46.675,,40.792,54.647,,3.720,35.733,2.729,109.248,0.157,11.185,148.148,2567.559,,80.188
SC1-7,IEFERJAI9,1054,a-axis,88.2,,47.139,,40.792,57.384,,3.875,36.385,2.897,109.528,0.163,11.198,148.807,2593.627,,81.237
SC1-7,IEFERJAI9,1037,a-axis,87.9,,46.520,,40.792,51.307,,3.905,35.109,2.993,111.695,0.161,11.387,149.246,2599.542,,79.780
SC1-7,IEFERJAI9,1019,a-axis,88.0,,46.474,,40.792,61.951,,3.817,35.873,2.571,110.817,0.161,11.270,149.609,2608.545,,80.467
SC1-7,IEFERJAI9,1002,a-axis,88.1,,46.491,,40.792,50.132,,3.921,36.428,2.991,110.979,0.162,11.155,147.819,2578.488,,79.044
SC1-7,IEFERJAI9,985,a-axis,88.2,,46.555,,40.792,55.625,,3.701,37.737,2.662,110.035,0.162,11.100,148.873,2577.327,,81.996
SC1-7,IEFERJAI9,967,a-axis,87.7,,45.884,,40.792,53.583,,3.661,35.834,2.908,108.031,0.161,11.435,146.793,2613.021,,81.062
SC1-7,IEFERJAI9,950,a-axis,88.3,,47.194,,40.792,60.097,,3.710,37.691,2.900,109.812,0.162,11.191,150.544,2576.118,,80.781
SC1-7,IEFERJAI9,933,a-axis,88.4,,47.144,,40.792,59.126,,3.879,36.862,2.767,108.853,0.163,11.067,149.758,2624.355,,82.434
SC1-7,IEFERJAI9,916,a-axis,88.1,,46.860,,40.792,58.955,,3.826,35.440,2.711,109.514,0.161,11.283,149.003,2615.051,,80.542
SC1-7,IEFERJAI9,898,a-axis,88.2,,47.263,,40.792,65.958,,3.830,35.747,2.866,110.672,0.161,11.313,147.500,2605.890,,79.624
SC1-7,IEFERJAI9,881,a-axis,88.4,,47.199,,40.792,63.132,,3.845,36.479,2.891,106.632,0.158,11.022,145.550,2601.195,,78.960
SC1-7,IEFERJAI9,864,a-axis,88.3,,47.862,,40.792,62.797,,3.725,36.239,2.814,110.766,0.166,11.336,151.430,2629.681,,82.103
SC1-7,IEFERJAI9,846,a-axis,88.3,,46.222,,40.792,57.175,,3.931,36.956,2.836,109.396,0.164,10.880,145.752,2517.190,,77.926
SC1-7,IEFERJAI9,829,a-axis,88.3,,46.902,,40.792,57.763,,3.916,36.541,2.619,108.233,0.163,11.103,148.029,2529.027,,79.332
SC1-7,IEFERJAI9,812,a-axis,88.3,,47.631,,40.792,53.743,,4.081,37.312,2.728,108.353,0.162,11.197,147.714,2552.643,,80.405
SC1-7,IEFERJAI9,795,a-axis,88.4,,47.050,,40.792,54.586,,4.046,35.961,2.745,108.339,0.159,10.975,147.160,2520.654,,76.973
SC1-7,IEFERJAI9,777,a-axis,88.4,,47.314,,40.792,58.675,,3.763,36.376,2.738,108.795,0.158,11.055,148.762,2561.916,,77.735
SC1-7,IEFERJAI9,760,a-axis,88.6,,45.813,,40.792,52.984,,3.856,36.700,2.800,102.959,0.154,10.532,141.211,2483.858,,74.809
SC1-7,IEFERJAI9,743,a-axis,88.4,,46.004,,40.792,57.679,,3.585,37.202,2.685,105.021,0.154,10.741,143.499,2484.732,,76.730
SC1-7,IEFERJAI9,725,a-axis,88.1,,45.881,,40.792,51.581,,3.557,35.085,2.623,107.269,0.158,11.053,145.814,2548.873,,77.561
SC1-7,IEFERJAI9,708,a-axis,88.4,,47.424,,40.792,55.579,,3.880,37.261,2.703,106.874,0.157,11.081,148.381,2567.782,,79.144
SC1-7,IEFERJAI9,691,a-axis,88.4,,46.713,,40.792,58.204,,4.021,36.673,2.777,111.255,0.159,10.948,147.087,2561.697,,77.524
SC1-7,IEFERJAI9,673,a-axis,88.2,,46.819,,40.792,55.592,,3.993,36.261,2.717,107.632,0.159,11.151,145.263,2560.592,,78.210
SC1-7,IEFERJAI9,656,a-axis,88.5,,46.258,,40.792,57.164,,3.816,35.796,2.634,106.447,0.157,10.728,142.312,2480.602,,77.026
SC1-7,IEFERJAI9,639,a-axis,88.4,,46.914,,40.792,57.348,,3.900,36.726,2.750,106.883,0.157,10.943,143.535,2564.636,,76.041
SC1-7,IEFERJAI9,622,a-axis,88.3,,46.519,,40.792,64.064,,3.929,35.451,2.731,107.160,0.161,10.984,146.850,2492.384,,76.888
SC1-7,IEFERJAI9,605,a-axis,88.3,,47.269,,40.792,50.951,,3.950,38.265,2.624,107.683,0.164,11.194,147.600,2566.313,,77.026
SC1-7,IEFERJAI9,587,a-axis,88.4,,47.662,,40.792,59.111,,3.822,36.518,2.728,106.625,0.160,11.200,146.750,2534.238,,78.421
SC1-7,IEFERJAI9,570,a-axis,88.1,,46.051,,40.792,62.823,,3.405,37.091,2.683,105.587,0.161,11.102,144.865,2511.684,,77.467
SC1-7,IEFERJAI9,553,a-axis,88.5,,46.993,,40.792,59.071,,3.561,36.692,2.871,107.184,0.159,10.867,145.254,2515.746,,77.630
SC1-7,IEFERJAI9,535,a-axis,88.2,,46.400,,40.792,58.681,,3.849,36.613,2.822,107.570,0.160,11.046,145.466,2530.314,,79.122
SC1-7,IEFERJAI9,518,a-axis,88.5,,47.718,,40.792,53.373,,3.815,36.436,2.688,107.429,0.157,11.028,144.938,2588.591,,80.158
SC1-7,IEFERJAI9,501,a-axis,88.3,,47.398,,40.792,58.467,,4.138,35.338,2.760,109.113,0.161,11.157,144.354,2579.327,,76.311
SC1-7,IEFERJAI9,483,a-axis,88.3,,46.897,,40.792,56.859,,3.934,35.838,2.717,107.531,0.160,11.063,147.485,2527.557,,79.415
SC1-7,IEFERJAI9,466,a-axis,88.3,,47.423,,40.792,60.407,,3.804,35.825,2.879,108.941,0.160,11.196,145.151,2561.580,,77.325
SC1-7,IEFERJAI9,449,a-axis,88.1,,46.834,,40.792,52.651,,3.784,36.828,2.772,109.700,0.159,11.273,145.150,2533.837,,79.003
SC1-7,IEFERJAI9,432,a-axis,88.2,,46.665,,40.792,48.265,,3.657,34.939,2.900,108.849,0.162,11.127,149.156,2556.531,,77.588
SC1-7,IEFERJAI9,414,a-axis,88.2,,47.080,,40.792,52.177,,3.759,35.827,2.699,109.946,0.160,11.275,145.939,2582.793,,78.665
SC1-7,IEFERJAI9,397,a-axis,88.1,,46.655,,40.792,61.618,,4.033,35.415,2.982,108.468,0.160,11.277,147.847,2585.169,,78.286
SC1-7,IEFERJAI9,380,a-axis,88.0,,46.068,,40.792,59.342,,4.040,35.301,2.677,107.626,0.159,11.173,148.216,2562.212,,77.248
SC1-7,IEFERJAI9,362,a-axis,88.2,,47.560,,40.792,59.810,,4.048,36.308,2.715,110.186,0.161,11.370,149.918,2610.627,,81.801
SC1-7,IEFERJAI9,345,a-axis,88.0,,46.933,,40.792,55.971,,3.811,34.261,2.873,108.190,0.162,11.383,150.884,2587.539,,78.385
SC1-7,IEFERJAI9,328,a-axis,88.2,,46.808,,40.792,53.416,,3.907,35.164,2.806,108.672,0.164,11.143,149.229,2567.872,,78.411
SC1-7,IEFERJAI9,311,a-axis,88.2,,47.358,,40.792,58.600,,3.943,35.415,2.836,108.347,0.161,11.336,148.243,2593.232,,77.705
SC1-7,IEFERJAI9,293,a-axis,88.1,,46.457,,40.792,55.838,,4.044,35.220,2.774,108.905,0.158,11.152,146.494,2525.026,,78.641
SC1-7,IEFERJAI9,276,a-axis,88.3,,47.531,,40.792,52.210,,3.901,35.511,2.619,107.623,0.164,11.235,149.822,2578.747,,79.671
SC1-7,IEFERJAI9,259,a-axis,88.1,,46.587,,40.792,57.524,,3.999,34.881,2.818,106.806,0.157,11.165,146.245,2514.461,,77.185
SC1-7,IEFERJAI9,241,a-axis,88.2,,47.271,,40.792,57.131,,3.934,35.278,2.698,108.489,0.162,11.257,148.637,2550.335,,77.632
SC1-7,IEFERJAI9,224,a-axis,88.4,,47.261,,40.792,58.447,,3.933,35.401,2.773,108.609,0.159,11.089,148.168,2565.901,,77.357
SC1-7,IEFERJAI9,207,a-axis,88.6,,47.614,,40.792,59.171,,3.703,36.681,2.792,105.750,0.160,10.970,144.974,2544.411,,80.103
SC1-7,IEFERJAI9,190,a-axis,88.4,,47.139,,40.792,55.187,,3.724,35.697,2.706,109.624,0.160,11.018,148.889,2582.671,,78.967
SC1-7,IEFERJAI9,172,a-axis,88.3,,47.490,,40.792,55.311,,3.976,34.691,2.836,108.469,0.159,11.202,145.294,2521.551,,79.789
SC1-7,IEFERJAI9,155,a-axis,88.4,,47.205,,40.792,59.093,,3.798,33.842,2.664,107.754,0.160,11.028,143.511,2507.905,,78.599
SC1-7,IEFERJAI9,138,a-axis,88.8,,47.940,,40.792,52.973,,3.811,35.346,2.532,107.816,0.158,10.791,143.374,2513.841,,79.313
SC1-7,IEFERJAI9,120,a-axis,88.5,,47.362,,40.792,60.457,,3.872,35.732,2.760,104.915,0.158,10.990,145.675,2547.356,,80.313
SC1-7,IEFERJAI9,103,a-axis,88.6,,47.261,,40.792,57.342,,4.188,35.970,2.507,105.234,0.159,10.871,142.678,2493.701,,81.123
SC1-7,IEFERJAI9,86,a-axis,88.3,,46.177,,40.792,52.678,,3.898,37.449,2.658,103.483,0.153,10.888,142.075,2533.115,,80.192
SC1-7,IEFERJAI9,69,a-axis,88.4,,47.254,,40.792,59.522,,4.092,37.960,2.602,105.430,0.158,11.024,143.436,2533.419,,83.368
SC1-7,IEFERJAI9,51,a-axis,88.5,,47.410,,40.792,56.352,,3.815,38.269,2.645,106.257,0.159,10.993,143.162,2519.790,,81.149
SC1-7,IEFERJAI9,34,a-axis,89.0,,47.528,,40.792,51.615,,3.810,36.165,2.726,108.068,0.159,10.462,140.501,2468.482,,80.653
