name,IGSN,microns,traverse,Fo,Li,MgO,Al,SiO2,P,CaO,Sc,Ti,V,Cr,MnO,FeO,Co,Ni,Cu,Zn
Kikin,IEMN1KI02,352,a-axis,84.368,0.988,44.199,264.573,39.387,51.036,0.284,4.529,106.428,8.413,428.565,0.193,14.597,165.257,2523,4.201,116.440
Kikin,IEMN1KI02,334,a-axis,84.459,0.904,44.507,265.686,39.317,43.209,0.242,4.852,110.643,8.937,453.394,0.197,14.597,165.316,2490,4.328,118.986
Kikin,IEMN1KI02,316,a-axis,84.546,0.737,44.569,279.615,39.705,45.600,0.279,4.603,113.157,9.118,477.343,0.193,14.521,166.409,2521,4.344,117.390
Kikin,IEMN1KI02,298,a-axis,84.669,1.280,44.754,258.486,39.403,49.297,0.245,4.787,106.946,8.672,419.582,0.195,14.444,162.104,2480,4.177,119.856
Kikin,IEMN1KI02,279,a-axis,84.707,0.529,45.123,259.294,39.510,43.643,0.307,4.657,103.619,8.895,450.787,0.197,14.521,166.166,2524,4.193,121.311
Kikin,IEMN1KI02,261,a-axis,84.340,0.988,44.569,258.570,39.660,60.169,0.268,5.000,103.545,8.416,438.928,0.193,14.750,168.515,2491,4.416,116.015
Kikin,IEMN1KI02,243,a-axis,84.812,1.572,45.493,243.650,39.424,55.603,0.298,4.870,103.397,8.229,447.591,0.193,14.521,165.973,2510,4.376,117.956
Kikin,IEMN1KI02,225,a-axis,84.524,0.529,44.261,248.764,39.559,55.385,0.296,4.923,100.366,8.410,411.458,0.192,14.444,169.262,2498,4.296,113.611
Kikin,IEMN1KI02,207,a-axis,84.791,1.238,44.938,230.597,39.235,46.687,0.282,4.805,103.397,8.313,426.025,0.195,14.368,166.898,2504,4.344,114.539
Kikin,IEMN1KI02,188,a-axis,84.681,1.196,44.322,238.622,39.276,57.342,0.309,4.695,110.642,8.216,459.440,0.193,14.292,166.032,2527,4.328,109.204
Kikin,IEMN1KI02,170,a-axis,84.391,1.238,44.507,231.407,40.035,41.251,0.319,4.559,106.946,8.326,415.997,0.192,14.673,169.857,2490,4.121,113.146
Kikin,IEMN1KI02,152,a-axis,84.651,1.071,44.692,226.376,39.217,30.162,0.286,4.497,108.499,7.919,507.299,0.190,14.444,169.917,2507,4.752,111.993
Kikin,IEMN1KI02,134,a-axis,84.838,0.863,44.384,228.709,39.934,37.773,0.284,4.695,108.646,7.812,438.803,0.195,14.139,169.523,2534,4.145,109.751
Kikin,IEMN1KI02,116,a-axis,85.445,0.821,45.308,228.765,39.572,35.598,0.289,4.618,102.289,7.812,453.662,0.192,13.757,169.141,2530,4.528,113.630
Kikin,IEMN1KI02,97,a-axis,85.465,0.737,44.877,217.495,39.447,39.729,0.321,4.659,104.580,7.525,466.007,0.189,13.604,166.445,2554,4.472,106.943
Kikin,IEMN1KI02,79,a-axis,85.221,1.196,44.754,209.971,39.546,41.251,0.287,4.615,114.857,7.224,486.094,0.187,13.833,169.266,2558,4.257,109.367
Kikin,IEMN1KI02,61,a-axis,85.935,0.821,45.062,201.592,38.920,47.993,0.282,4.562,105.763,7.063,471.531,0.180,13.146,164.153,2550,4.352,108.639
